id,raw_x,raw_y,refined_x,refined_y,ra_deg,dec_deg,ra_hms,dec_dms,peak_adu,dao_flux,net_flux,flux_err,snr,mag_inst,mag_inst_err,mag_calibrated,mag_calibrated_err,airmass
Auto_1572,3516.75,235.50,3516.82,235.42,143.99291,44.75148,09h35m58.30s,+44d45m05.3s,78.0,776.000,1020.688,188.552,5.41,-7.522,0.201,16.174,0.230,1.1095
Auto_1573,4091.96,1187.73,4091.34,1187.93,144.53087,44.56167,09h38m07.41s,+44d33m42.0s,64.0,775.000,1199.468,189.302,6.34,-7.697,0.171,15.999,0.205,1.1095
Auto_1574,4380.56,1469.43,4380.68,1469.41,144.74339,44.52909,09h38m58.41s,+44d31m44.7s,60.0,775.000,922.315,188.782,4.89,-7.412,0.222,16.284,0.249,1.1095
Auto_1575,4241.49,2838.53,4241.61,2838.54,145.06939,44.05475,09h40m16.65s,+44d03m17.1s,73.0,775.000,935.445,188.698,4.96,-7.428,0.219,16.269,0.246,1.1095
Auto_1576,848.16,3865.77,848.19,3865.77,143.84099,43.02636,09h35m21.84s,+43d01m34.9s,75.0,774.000,1079.497,188.618,5.72,-7.583,0.190,16.113,0.220,1.1095
Auto_1577,4865.52,1484.42,4865.69,1484.42,144.96913,44.62277,09h39m52.59s,+44d37m22.0s,66.0,772.000,916.033,189.601,4.83,-7.405,0.225,16.292,0.251,1.1095
Auto_1578,2309.62,2272.01,2309.73,2272.08,144.03600,43.84279,09h36m08.64s,+43d50m34.0s,78.0,771.000,1142.783,187.844,6.08,-7.645,0.178,16.052,0.211,1.1095
Auto_1579,1392.35,1542.69,1392.35,1542.70,143.41499,43.88743,09h33m39.60s,+43d53m14.8s,93.0,770.000,893.987,187.544,4.77,-7.378,0.228,16.318,0.254,1.1095
Auto_1580,1915.13,989.29,1915.15,989.27,143.48806,44.17504,09h33m57.13s,+44d10m30.1s,77.0,770.000,1074.704,187.464,5.73,-7.578,0.189,16.118,0.220,1.1095
Auto_1581,744.27,3012.95,744.25,3012.94,143.55169,43.27909,09h34m12.41s,+43d16m44.7s,83.0,769.000,972.320,188.311,5.16,-7.470,0.210,16.227,0.238,1.1095
Auto_1582,3581.58,1233.83,3581.22,1233.50,144.31184,44.44193,09h37m14.84s,+44d26m31.0s,59.0,769.000,1155.891,188.889,6.12,-7.657,0.177,16.039,0.210,1.1095
Auto_1583,4865.27,3797.61,4865.37,3797.83,145.61989,43.86737,09h42m28.77s,+43d52m02.5s,58.0,768.000,922.767,189.241,4.88,-7.413,0.223,16.284,0.249,1.1095
Auto_1584,3197.25,1731.67,3197.30,1731.65,144.28090,44.20129,09h37m07.42s,+44d12m04.6s,66.0,767.000,1047.408,188.290,5.56,-7.550,0.195,16.146,0.225,1.1095
Auto_1585,4121.95,436.10,4122.00,436.09,144.32734,44.81139,09h37m18.56s,+44d48m41.0s,62.0,766.000,985.207,188.261,5.23,-7.484,0.207,16.213,0.236,1.1095
Auto_1586,2611.80,1266.13,2611.85,1266.17,143.88195,44.23092,09h35m31.67s,+44d13m51.3s,74.0,765.000,1189.836,187.627,6.34,-7.689,0.171,16.008,0.205,1.1095
Auto_1587,4069.51,3627.63,4069.59,3627.78,145.21298,43.76248,09h40m51.12s,+43d45m44.9s,63.0,765.000,795.689,188.774,4.22,-7.252,0.258,16.445,0.281,1.1095
Auto_1588,3648.77,78.94,3648.83,78.88,144.00746,44.82928,09h36m01.79s,+44d49m45.4s,82.0,765.000,943.493,188.042,5.02,-7.437,0.216,16.260,0.244,1.1095
Auto_1589,2006.22,485.08,2006.24,485.08,143.38198,44.35640,09h33m31.68s,+44d21m23.0s,80.0,764.000,1062.037,187.826,5.65,-7.565,0.192,16.131,0.222,1.1095
Auto_1590,4060.65,3527.99,4060.85,3528.19,145.18114,43.79318,09h40m43.47s,+43d47m35.5s,66.0,763.000,1002.064,189.124,5.30,-7.502,0.205,16.194,0.234,1.1095
Auto_1591,2258.52,740.21,2258.56,740.18,143.56992,44.32707,09h34m16.78s,+44d19m37.4s,66.0,761.000,1093.628,187.732,5.83,-7.597,0.186,16.099,0.218,1.1095
Auto_1592,6221.24,3907.20,6221.46,3907.27,146.26403,44.10144,09h45m03.37s,+44d06m05.2s,61.0,758.000,821.739,189.731,4.33,-7.287,0.251,16.410,0.275,1.1095
Auto_1593,5242.15,3514.66,5242.12,3514.67,145.71226,44.03546,09h42m50.94s,+44d02m07.6s,56.0,756.000,762.772,188.848,4.04,-7.206,0.269,16.490,0.291,1.1095
Auto_1594,5247.90,3260.93,5248.04,3261.01,145.64444,44.11965,09h42m34.67s,+44d07m10.7s,51.0,754.000,779.671,189.131,4.12,-7.230,0.263,16.467,0.286,1.1095
Auto_1595,4135.43,3157.59,4135.65,3157.64,145.11114,43.92916,09h40m26.67s,+43d55m45.0s,57.0,754.000,937.171,188.929,4.96,-7.430,0.219,16.267,0.246,1.1095
Auto_1596,823.04,2484.74,823.07,2484.75,143.43459,43.46534,09h33m44.30s,+43d27m55.2s,88.0,753.000,1001.831,187.727,5.34,-7.502,0.203,16.194,0.232,1.1095
Auto_1597,805.59,1708.16,805.57,1708.17,143.20222,43.71137,09h32m48.53s,+43d42m40.9s,85.0,752.000,982.301,188.842,5.20,-7.481,0.209,16.216,0.237,1.1095
Auto_1598,582.49,2058.08,582.51,2058.11,143.20500,43.55226,09h32m49.20s,+43d33m08.1s,97.0,748.000,1101.877,187.564,5.87,-7.605,0.185,16.091,0.216,1.1095
Auto_1599,1855.33,2472.09,1855.38,2472.08,143.88997,43.68397,09h35m33.59s,+43d41m02.3s,74.0,746.000,992.011,187.189,5.30,-7.491,0.205,16.205,0.234,1.1095
Auto_1600,107.58,2656.31,107.62,2656.32,143.16893,43.26116,09h32m40.54s,+43d15m40.2s,86.0,745.000,1032.613,188.465,5.48,-7.535,0.198,16.162,0.228,1.1095
Auto_1601,1304.11,3356.00,1304.07,3356.02,143.89747,43.28451,09h35m35.39s,+43d17m04.3s,76.0,745.000,1028.988,187.657,5.48,-7.531,0.198,16.165,0.228,1.1095
Auto_1602,5701.57,865.97,5701.69,865.96,145.17533,44.99261,09h40m42.08s,+44d59m33.4s,63.0,745.000,888.578,189.288,4.69,-7.372,0.231,16.325,0.257,1.1095
Auto_1603,230.66,678.46,230.69,678.41,142.64796,43.92027,09h30m35.51s,+43d55m13.0s,89.0,743.000,1024.688,187.928,5.45,-7.526,0.199,16.170,0.229,1.1095
