id,raw_x,raw_y,refined_x,refined_y,ra_deg,dec_deg,ra_hms,dec_dms,peak_adu,dao_flux,net_flux,flux_err,snr,mag_inst,mag_inst_err,mag_calibrated,mag_calibrated_err,airmass,is_variable
Auto_108,2970.34,3128.23,2970.36,3128.27,144.58748,43.70481,09h38m21.00s,+43d42m17.3s,3441.0,22241.000,25716.162,205.841,124.93,-11.026,0.009,12.656,0.039,1.0554,No
Auto_109,1742.62,1535.10,1742.58,1535.17,143.58034,43.96703,09h34m19.28s,+43d58m01.3s,2856.0,22088.000,25954.273,205.534,126.28,-11.036,0.009,12.646,0.039,1.0554,No
Auto_110,3574.63,1368.42,3574.62,1368.47,144.35850,44.40024,09h37m26.04s,+44d24m00.9s,2872.0,22039.000,25342.469,205.802,123.14,-11.010,0.009,12.672,0.039,1.0554,No
Auto_111,3900.34,3755.79,3900.33,3755.83,145.18245,43.68984,09h40m43.79s,+43d41m23.4s,3066.0,21943.000,25538.714,205.212,124.45,-11.018,0.009,12.664,0.039,1.0554,No
Auto_112,3822.57,2101.72,3822.57,2101.71,144.68103,44.21280,09h38m43.45s,+44d12m46.1s,2990.0,21572.000,24380.621,199.435,122.25,-10.968,0.009,12.714,0.039,1.0554,No
Auto_113,4488.68,3963.30,4488.68,3963.40,145.50541,43.74079,09h42m01.30s,+43d44m26.9s,2883.0,21464.000,26885.450,210.364,127.80,-11.074,0.008,12.608,0.039,1.0554,No
Auto_114,2113.48,3297.72,2113.50,3297.67,144.25148,43.47414,09h37m00.35s,+43d28m26.9s,2815.0,20978.000,23653.338,201.525,117.37,-10.935,0.009,12.747,0.039,1.0554,No
Auto_115,358.80,1983.48,358.75,1983.50,143.09572,43.53380,09h32m22.97s,+43d32m01.7s,2480.0,20963.000,24898.887,203.187,122.54,-10.990,0.009,12.691,0.039,1.0554,No
Auto_116,2069.02,2926.80,2069.00,2926.79,144.12615,43.58502,09h36m30.28s,+43d35m06.1s,3371.0,20735.000,22960.404,198.403,115.73,-10.902,0.009,12.779,0.039,1.0554,No
Auto_117,2743.24,3371.22,2743.27,3371.24,144.55416,43.57946,09h38m13.00s,+43d34m46.1s,3256.0,20600.000,23626.719,200.535,117.82,-10.934,0.009,12.748,0.039,1.0554,No
Auto_118,493.61,1636.51,493.57,1636.51,143.05456,43.67331,09h32m13.09s,+43d40m23.9s,2408.0,20382.000,24541.848,203.227,120.76,-10.975,0.009,12.707,0.039,1.0554,No
Auto_119,4439.87,2912.51,4439.83,2912.55,145.19050,44.07399,09h40m45.72s,+44d04m26.4s,2591.0,20293.000,23256.554,200.310,116.10,-10.916,0.009,12.765,0.039,1.0554,No
Auto_120,678.94,3914.08,678.95,3914.08,143.79046,42.98042,09h35m09.71s,+42d58m49.5s,2566.0,20253.000,23530.454,200.766,117.20,-10.929,0.009,12.753,0.039,1.0554,No
